"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" бо как ебес о вамудоп еыврепв";"моннешиламу";"впервые подумав о себе как об ";"умалишенном";". ";"";"Сергей Кулаков. Нить Ариадны // «Сибирские огни», 2013";"Сергей Кулаков";"1964";"Нить Ариадны";"2013";"художественная";"рассказ";"";"«Сибирские огни»";"2013";"журнал";"омонимия снята автоматически";"92";"2156";"н-возраст";"н-уровень";"средняя";"N. отметил, как доктор смотрел на него, и влажная мысль отпечатала копию шекспировской фразы -- из зеленого тома с тисненым золотом Пегасом над золоченым шаром, изображающим нашу скорбную планету, -- о том, что полоумные гораздо находчивее понятливых; N. улыбнулся, впервые подумав о себе как об умалишенном. ";"59689:48:43"
" еинелтачепв яегреС ан тидовзиорп акмоР отч";"огоннешиламу";"что Ромка производит на Сергея впечатление ";"умалишенного";" ";"или дебила, он очень неглупый парень";"Александра Маринина. Последний рассвет (2013)";"Александра Маринина";"1957";"Последний рассвет";"2013";"художественная";"роман";"";"Александра Маринина. Последний рассвет. Т. 1";"2013";"книга";"омонимия снята автоматически";"9432";"106846";"н-возраст";"н-уровень";"большая";"Жаль, что Ромка производит на Сергея впечатление умалишенного или дебила, он очень неглупый парень, и что самое главное – у него свободное мышление, не зашоренное вдолбленными со школьной скамьи алгоритмами. ";"23305:4097:7"
" ялд атюирп зи ценокан ясйишварбыв инзиж";"хыннешиламу";"жизни выбравшийся наконец из приюта для ";"умалишенных";". ";"";"Ольга Гринкруг. Рим (2012)";"Ольга Гринкруг";"1975";"Рим";"2012";"публицистика | нехудожественная";"путеводитель";"путешествия | история | досуг, зрелища и развлечения";"Рим. Путеводители «Афиши»";"2012";"книга";"омонимия снята автоматически";"2994";"54847";"н-возраст";"н-уровень";"большая";"В XVIII веке в роще Парразио позади Сан-Пьетро-ин-Монторио декламировали идиллические вирши члены академии Аркадия, а еще раньше здесь обитал Тассо, под конец жизни выбравшийся наконец из приюта для умалишенных. ";"23764:1709:29"
" емод в инд иовс ано аличнокО";"хыннешиламу";"Окончила она свои дни в доме ";"умалишенных";" ";"в Петербурге. ";"Ю. Н. Ерофеев. Аксель Берг (2012)";"Ю. Н. Ерофеев";"1936";"Аксель Берг";"2012";"публицистика | нехудожественная";"биография";"техника | политика и общественная жизнь | история";"Ю. Н. Ерофеев. «Аксель Берг»";"2012";"книга";"омонимия снята автоматически";"3361";"49123";"н-возраст";"н-уровень";"большая";"Окончила она свои дни в доме умалишенных в Петербурге. ";"22688:288:6"
" ялд екинилк в лёворп но еыроток";"хыннёшиламу";"которые он провёл в клинике для ";"умалишённых";", ";"был уверен в том, что Лобачевский";"Илья Кашницкий. Прыжок через голову // «Зеркало мира», 2012";"Илья Кашницкий";"";"Прыжок через голову";"2012";"публицистика | нехудожественная";"статья";"история | наука и технологии | математика";"«Зеркало мира»";"2012";"журнал";"омонимия снята автоматически";"177";"2492";"н-возраст";"н-уровень";"средняя";"Более того, венгерский ученый до своих последних дней, которые он провёл в клинике для умалишённых, был уверен в том, что Лобачевский -- вымышленная фигура, манёвр хитрого Гаусса, позарившегося на его открытие. ";"59900:37:14"
" ланимопан иксечясв и моцил лидох онврен";"огоннешиламу";"нервно ходил лицом и всячески напоминал ";"умалишенного";". ";"";"Наринэ Абгарян. Всё о Манюне (сборник) (2012)";"Наринэ Абгарян";"1971";"Всё о Манюне (сборник)";"2012";"художественная";"роман";"";"Наринэ Абгарян. Всё о Манюне";"2015";"книга";"омонимия снята автоматически";"20440";"208156";"детский";"н-уровень";"большая";"Папа был явно не в себе, он отчаянно жестикулировал, нервно ходил лицом и всячески напоминал умалишенного. ";"24741:2861:15"
" тюатичсоп -- ьшесензиорп ен хулсв еыроток ,хяиненварс";"мыннешиламу";"сравнениях, которые вслух не произнесешь -- посчитают ";"умалишенным";" ";"трепетным придурком. ";"Н. В. Нестерова. Лялька, или Квартирный вопрос (2012)";"Н. В. Нестерова";"1950";"Лялька, или Квартирный вопрос";"2012";"художественная";"повесть";"";"Н. В. Нестерова. Неподходящий жених";"2013";"книга";"омонимия снята автоматически";"944";"9162";"н-возраст";"н-уровень";"большая";"Олег ловил себя на высокопарных сравнениях, которые вслух не произнесешь -- посчитают умалишенным трепетным придурком. ";"23486:337:11"
" яамодевен алялвяаз -- »!йом -- емрофину в аничжуМ";"яаннешиламу";"Мужчина в униформе -- мой!» -- заявляла неведомая ";"умалишенная";" ";"амазонка; а барышни поспокойнее писали Генрику";"Евгения Пищикова. Мужчина с собачкой // «Русская жизнь», 2012";"Евгения Пищикова";"";"Мужчина с собачкой";"2012";"публицистика | нехудожественная";"заметка";"армия и вооруженные конфликты | природа | психология | социология | частная жизнь";"«Русская жизнь»";"2012";"журнал";"омонимия снята автоматически";"22";"369";"н-возраст";"н-уровень";"большая";"Мужчина в униформе -- мой!» -- заявляла неведомая умалишенная амазонка; а барышни поспокойнее писали Генрику что-то в том духе, что вот если б потерялся он, Генрик, то о нем было бы кому позаботиться. ";"59409:8:6"
" ялд ыциньлоб иицевШ в еытырказ ьтыркто";"хыннешиламу";"открыть закрытые в Швеции больницы для ";"умалишенных";" ";"разгорелись с новой силой. ";"Григорий Гольденцвайг. Стокгольм (2011)";"Григорий Гольденцвайг";"";"Стокгольм";"2011";"публицистика | нехудожественная";"путеводитель";"путешествия | история | досуг, зрелища и развлечения";"Стокгольм. Путеводители «Афиши»";"2011";"книга";"омонимия снята автоматически";"4575";"54011";"н-возраст";"н-уровень";"большая";"В 2003 году рядом с клубом сумасшедший протаранил толпу на автомобиле -- и разговоры о необходимости снова открыть закрытые в Швеции больницы для умалишенных разгорелись с новой силой. ";"23766:946:22"
" идюл -- илетидор иом отч умотоп ,ясьтяничдоп";"еыннешиламу";"подчиняться, потому что мои родители -- люди ";"умалишенные";", ";"и мне надо о них заботиться. ";"Я. И. Грантс. Череп // «Волга», 2011";"Я. И. Грантс";"1968";"Череп";"2011";"художественная";"рассказ";"";"«Волга»";"2011";"журнал";"омонимия снята автоматически";"653";"5055";"н-возраст";"н-уровень";"большая";"Но приходится подчиняться, потому что мои родители -- люди умалишенные, и мне надо о них заботиться. ";"61715:11:8"
" аз иламинирп янеМ";"юуннешиламу";"Меня принимали за ";"умалишенную";" ";"и бросали трубку. ";"Е. В. Колина. Дневник измены (2011)";"Е. В. Колина";"1959";"Дневник измены";"2011";"художественная";"роман";"";"Хорошее настроение (сборник)";"2011";"книга";"омонимия снята автоматически";"12083";"126202";"н-возраст";"н-уровень";"большая";"Меня принимали за умалишенную и бросали трубку. ";"23142:11119:3"
" и ьтсуП";"яаннешиламу";"Пусть и ";"умалишенная";", ";"но ума не лишенная  [:]) Маркс, безусловно";"Форум: Утро (2011)";"коллективный";"";"Форум: Утро";"2011";"электронная коммуникация | нехудожественная";"блог";"политика и общественная жизнь";"";"2011";"электронный текст";"омонимия снята автоматически";"198";"2167";"н-возраст";"н-уровень";"большая";"Пусть и умалишенная, но ума не лишенная  [:]) Маркс, безусловно, умнейший человек, но проруха и на него нашлась конкретная. ";"25037:153:2"
" ад кимок ьшил ьтазакс гом еокат";"йыннешиламу";"такое мог сказать лишь комик да ";"умалишенный";"… ";"";"Иеромонах Макарий (Маркиш). Приключения и подвиги (2010)";"Иеромонах Макарий (Маркиш)";"";"Приключения и подвиги";"2010";"публицистика | нехудожественная";"мемуары";"религия";"";"";"книга";"омонимия снята автоматически";"129";"2363";"н-возраст";"н-уровень";"средняя";"Если в первый же вечер по прибытии в Бостон наш тамошний приятель вразумил нас со знанием дела: «Учтите, в целом это честная страна», -- то пятнадцать лет спустя, в эпоху Клинтона, такое мог сказать лишь комик да умалишенный… ";"54172:61:36"
" амоД« имажаносреп енм ьсилазак ,ясьтанзирп ,ино";"хыннешиламу";"они, признаться, казались мне персонажами «Дома ";"умалишенных";"» ";"да «Похорон сардинки» -- себе же напоминал";"Н. Ф. Рубанова. [Её университеты] Из цикла Love-story // «Волга», 2010";"Н. Ф. Рубанова";"1974";"[Её университеты] Из цикла Love-story";"2010";"художественная";"рассказ";"";"«Волга»";"2010";"журнал";"омонимия снята автоматически";"76";"1618";"н-возраст";"н-уровень";"большая";"Усмехнувшись, ты принялась фотографировать захмелевших и откровенно пьяных гостей: все они, признаться, казались мне персонажами «Дома умалишенных» да «Похорон сардинки» -- себе же напоминал я засыпанного песком пса [4], которому уже не выбраться: когда-то ты подарила мне альбом с репродукциями Гойи -- я оценил его работы не сразу, как не сразу осознал и то, что ты никогда, никогда не снизойдешь до того, чтобы намекнуть мне на главное, на самое важное… тебе легче было снять с собственной головы скальп, нежели признаться в том, что ты, как и все эти курицы, кое о чем мечтаешь. ";"61684:66:16"
" ан как илертомс оген аН";"огоннешиламу";"На него смотрели как на ";"умалишенного";". ";"";"В. М. Шапко. Время стариков // «Волга», 2010";"В. М. Шапко";"1938";"Время стариков";"2010";"художественная";"повесть";"";"«Волга»";"2010";"журнал";"омонимия снята автоматически";"7636";"47426";"н-возраст";"н-уровень";"большая";"На него смотрели как на умалишенного. ";"61643:5115:5"
" с лавиравогзар зар йитерт в я";"мыннёшиламу";"я в третий раз разговаривал с ";"умалишённым";", ";"не понимающим"" забрать все деньги и";"Форум: Банк Русский Стандарт. Обсуждение банка (2009-2011)";"коллективный";"";"Форум: Банк Русский Стандарт. Обсуждение банка";"2009-2011";"электронная коммуникация | нехудожественная";"форум";"бизнес, коммерция, экономика, финансы | право";"";"";"электронный текст";"омонимия снята автоматически";"884";"11557";"н-возраст";"н-уровень";"большая";"Как будто я в третий раз разговаривал с умалишённым, не понимающим"" забрать все деньги и закрыть все счета и договоры с банком ""!!! ";"24873:722:8"
" емод в ачарввалг лавозиреткарахо кат ьлетасип";"хыннешиламу";"писатель так охарактеризовал главврача в доме ";"умалишенных";": «";"главный доктор в заведении был добрейший";"С. Г. Боровиков. В русском жанре – 39. Больничное // «Волга», 2009";"С. Г. Боровиков";"1947";"В русском жанре – 39. Больничное";"2009";"художественная";"рассказ";"";"«Волга»";"2009";"журнал";"омонимия снята автоматически";"259";"4019";"н-возраст";"н-уровень";"большая";"А задолго до Гайдая русский писатель так охарактеризовал главврача в доме умалишенных: «главный доктор в заведении был добрейший человек в мире, но без сомнения, более поврежденный, нежели половина больных его…» (Искандер (А. Герцен) «Доктор Крупов», 1847). ";"61551:215:11"
" ялд ецинбечел в монвонсо в мотоп";"хыннешиламу";"потом в основном в лечебнице для ";"умалишенных";"… ";"";"В. Ю. Кунгурцева. Ведогони, или Новые похождения Вани Житного (2009)";"В. Ю. Кунгурцева";"1960";"Ведогони, или Новые похождения Вани Житного";"2009";"художественная";"роман";"";"В. Ю. Кунгурцева, «Ведогони, или Новые похождения Вани Житного»";"2009";"книга";"омонимия снята автоматически";"8233";"91520";"н-возраст";"н-уровень";"большая";"После того, как ребенок пропал, болезнь усугубилась, в конце концов жена… стала буйной, и… хотя иногда ее выпускали домой, жила она потом в основном в лечебнице для умалишенных… ";"23202:7864:27"
" ялд ьрегал йинтел в алапоп ано";"хыннешиламу";"она попала в летний лагерь для ";"умалишенных";". ";"";"Полина Волошина, Евгений Кульков. Маруся (2009)";"Полина Волошина, Евгений Кульков";"";"Маруся";"2009";"художественная";"повесть";"";"П. Волошина, Е. Кульков. Маруся";"2009";"книга";"омонимия снята автоматически";"7988";"58849";"н-возраст";"н-уровень";"большая";"У Маруси проскочила тревожная мысль, что она попала в летний лагерь для умалишенных. ";"24623:1607:12"
" од ен олыб иицартсинимда йоксйирекчи йовоН";"хыннешиламу";"Новой ичкерийской администрации было не до ";"умалишенных";". ";"";"Герман Садулаев. Шалинский рейд (2009) // «Знамя», 2010";"Герман Садулаев";"1973";"Шалинский рейд";"2009";"художественная";"роман";"";"«Знамя»";"2010";"журнал";"омонимия снята автоматически";"6798";"60803";"н-возраст";"н-уровень";"большая";"Новой ичкерийской администрации было не до умалишенных. ";"23833:4177:6"
"";"хыннешиламУ";"";"Умалишенных";" ";"хватало в самой администрации, только они";"Герман Садулаев. Шалинский рейд (2009) // «Знамя», 2010";"Герман Садулаев";"1973";"Шалинский рейд";"2009";"художественная";"роман";"";"«Знамя»";"2010";"журнал";"омонимия снята автоматически";"6798";"60803";"н-возраст";"н-уровень";"большая";"Умалишенных хватало в самой администрации, только они были буйные -- их следовало госпитализировать в стационары закрытого типа с усиленным режимом. ";"23833:4178:0"
" аз ьтянирп сан гом йатадялгос йынйачулс";"хыннёшиламу";"случайный соглядатай мог нас принять за ";"умалишённых";", ";"забывших о существовании еды, одежды, постели";"Игорь Сахновский. Заговор ангелов (2009)";"Игорь Сахновский";"1958";"Заговор ангелов";"2009";"художественная";"роман";"";"И. Сахновский, «Заговор ангелов», АСТ, «Астрель», 2009";"2009";"книга";"омонимия снята автоматически";"2996";"41093";"н-возраст";"н-уровень";"большая";"Подозреваю, что какой-нибудь случайный соглядатай мог нас принять за умалишённых, забывших о существовании еды, одежды, постели и хотя бы минимальной пристойности. ";"23836:508:9"
" юовс еишванилкорп охит ,ииссецорп икинтсачу ,ьтазакс";"юуннёшиламу";"сказать, участники процессии, тихо проклинавшие свою ";"умалишённую";" ";"королеву, позднее благодарили её как спасительницу";"Игорь Сахновский. Заговор ангелов (2009)";"Игорь Сахновский";"1958";"Заговор ангелов";"2009";"художественная";"роман";"";"И. Сахновский, «Заговор ангелов», АСТ, «Астрель», 2009";"2009";"книга";"омонимия снята автоматически";"2996";"41093";"н-возраст";"н-уровень";"большая";"К слову сказать, участники процессии, тихо проклинавшие свою умалишённую королеву, позднее благодарили её как спасительницу: сама того не ведая, она увела их от чумы, которая в те месяцы свирепствовала в Бургосе. ";"23836:1077:8"
" ялд ациньлоб алыб отэ немерв хиксниниретаке";"хыннешиламу";"екатерининских времен это была больница для ";"умалишенных";" (";"Смильг-Бенарио. ";"И. В. Соловьев. Большевики ушли? Стратегия интеллигенции. 1918-1919 годы // «Волга», 2009";"И. В. Соловьев";"1983";"Большевики ушли? Стратегия интеллигенции. 1918-1919 годы";"2009";"публицистика | нехудожественная";"статья";"история";"«Волга»";"2009";"журнал";"омонимия снята автоматически";"446";"6124";"н-возраст";"н-уровень";"большая";"Здание, за которое велась борьба, с екатерининских времен было больницей, и с екатерининских времен это была больница для умалишенных (Смильг-Бенарио. ";"61550:191:18"
" как ,иларо и итед еынделб илагебыв";"еыннёшиламу";"выбегали бледные дети и орали, как ";"умалишённые";". ";"";"Татьяна Соломатина. Акушер-ХА! Байки (2009)";"Татьяна Соломатина";"1971";"Акушер-ХА! Байки";"2009";"художественная";"повесть";"";"Татьяна Соломатина. Акушер-ХА! Байки";"2010";"книга";"омонимия снята автоматически";"8620";"74351";"н-возраст";"н-уровень";"большая";"А под ярким солнцем из ярких автобусов выбегали бледные дети и орали, как умалишённые. ";"24289:754:13"
" ялд емод мокстнагиг о как ебес";"хыннешиламу";"себе как о гигантском доме для ";"умалишенных";", ";"в котором неосторожно брошенное слово или";"Елена Съянова. Несчастный Этьен Дюваль // «Знание - сила», 2009";"Елена Съянова";"";"Несчастный Этьен Дюваль";"2009";"публицистика | нехудожественная";"статья";"история | политика и общественная жизнь";"«Знание - сила»";"2009";"журнал";"омонимия снята автоматически";"34";"587";"н-возраст";"н-уровень";"большая";"Это произошло в семидесятые годы XVIII века, в канун великого потрясения Великой революции, когда французское общество устами собственных писателей и публицистов отзывалось о себе как о гигантском доме для умалишенных, в котором неосторожно брошенное слово или случайно вырвавшийся громкий вскрик могли вызвать взрыв общего возбуждения, вспышку эмоций, истерику, грозившую вышибить двери и окна, разметать стены, снести крышу крепкого лишь на первый взгляд здания. ";"41364:2:29"
" как ирытсаном в илалысс йедюл еенар";"хыннёшиламу";"ранее людей ссылали в монастыри как ";"умалишённых";". ";"";"Олег Усенко. Еще царь Петр, и еще... // «Родина», 2009";"Олег Усенко";"";"Еще царь Петр, и еще...";"2009";"публицистика | нехудожественная";"статья";"история | политика и общественная жизнь";"«Родина»";"2009";"журнал";"омонимия снята автоматически";"188";"2842";"н-возраст";"н-уровень";"средняя";"Поскольку он оказался долгожителем, о нём вспомнили при Екатерине II -- после того, как 21 июня 1766 года она издала указ о пересмотре дел, по которым ранее людей ссылали в монастыри как умалишённых. ";"59292:166:31"
" ан и ,йетед ан и тяртомс";"хыннешиламу";"смотрят и на детей, и на ";"умалишенных";", ";"и просто так, думая о чем-то";"А. А. Уткин. Дорога в снегопад (2008-2010)";"А. А. Уткин";"1967";"Дорога в снегопад";"2008-2010";"художественная";"роман";"";"А. А. Уткин, «Дорога в снегопад», АСТ, «Астрель», Москва, 2011";"2011";"книга";"омонимия снята автоматически";"5965";"89147";"н-возраст";"н-уровень";"большая";"Так смотрят и на детей, и на умалишенных, и просто так, думая о чем-то своем. ";"24546:2956:7"
" ялд хамод в ,хылератсерп ялд хатюирп";"хыннешиламу";"приютах для престарелых, в домах для ";"умалишенных";". ";"";"Сергей Есин. Маркиз Астольф де Кюстин. Почта духов, или Россия в 2007 году. Переложение на отечественный Сергея Есина (2008)";"Сергей Есин";"1935";"Маркиз Астольф де Кюстин. Почта духов, или Россия в 2007 году. Переложение на отечественный Сергея Есина";"2008";"художественная";"роман";"";"";"";"книга";"омонимия снята автоматически";"3994";"60419";"н-возраст";"н-уровень";"большая";"Как замечательно все обошлось, наверняка в подобной ситуации кое-что удастся узнать о больнице, о социальных возможностях трудящихся, уточнить те грозные слухи, которые достигают преисподней о неком злонамеренном министре здравоохранения по фамилии Зурабов, о положении в больницах, в приютах для престарелых, в домах для умалишенных. ";"22966:1682:43"
" йонйотсод ,йецилсымссеб йонтсозред« лавзан ьрац ,51";"огоннёшиламу";"15, царь назвал «дерзостной бессмыслицей, достойной ";"умалишённого";"». ";"";"В. Каганов. Можно ли жить своим умом? Об отринутых и проклятых... // «Наука и жизнь», 2008";"В. Каганов";"";"Можно ли жить своим умом? Об отринутых и проклятых...";"2008";"публицистика | нехудожественная";"статья";"история | политика и общественная жизнь";"«Наука и жизнь»";"2008";"журнал";"омонимия снята автоматически";"446";"8004";"н-возраст";"н-уровень";"большая";"Статью «Философические письма к Г-же ***», опубликованную в журнале «Телескоп», 1836, № 15, царь назвал «дерзостной бессмыслицей, достойной умалишённого». ";"37787:386:17"
" ялд уцинбечел в ьтитсемоп ьсолширп оге";"хыннешиламу";"его пришлось поместить в лечебницу для ";"умалишенных";", ";"где он недавно и умер. ";"Е. В. Новицкий. Меfистоfель Forever // «Волга», 2008";"Е. В. Новицкий";"1984";"Меfистоfель Forever";"2008";"художественная";"роман";"";"«Волга»";"2008";"журнал";"омонимия снята автоматически";"4154";"48830";"н-возраст";"н-уровень";"большая";"Быть может, потому, что здесь присутствуют записки моего сумасшедшего фамулуса Кристофа Вагнера; его уже нет с нами: болезнь его долго развивалась, в одно время его пришлось поместить в лечебницу для умалишенных, где он недавно и умер. ";"61530:4128:30"
" иланзирп оге илсЕ";"мыннёшиламу";"Если его признали ";"умалишённым";", ";"то заключили в монастырь «до исправления";"Олег Усенко. Арабские «принцы» и скопинский мужик // «Родина», 2008";"Олег Усенко";"";"Арабские «принцы» и скопинский мужик";"2008";"публицистика | нехудожественная";"статья";"история | политика и общественная жизнь";"«Родина»";"2008";"журнал";"омонимия снята автоматически";"220";"3779";"н-возраст";"высокий";"большая";"Если его признали умалишённым, то заключили в монастырь «до исправления в уме». ";"39286:191:3"
" яинежотчину иктыпоп есв ьсилатсо молшорп в";"хыннешиламу";"в прошлом остались все попытки уничтожения ";"умалишенных";" ";"ради «очищения расы». ";"О. В. Аронсон. Коммуникативный образ. Кино. Литература. Философия. Ч. III (2007)";"О. В. Аронсон";"1964";"Коммуникативный образ. Кино. Литература. Философия. Ч. III";"2007";"учебно-научная";"монография";"наука и технологии | философия | культурология";"Аронсон О. Коммуникативный образ. Кино. Литература. Философия";"2007";"книга";"омонимия снята автоматически";"1397";"27870";"н-возраст";"высокий";"большая";"Кажется, что в прошлом остались все попытки уничтожения умалишенных ради «очищения расы». ";"42251:548:8"
" ,мыньламронен ичудуб ежад ,кеволеч :меаджревту ончывирп";"мыннешиламу";"привычно утверждаем: человек, даже будучи ненормальным, ";"умалишенным";", ";"маньяком, убийцей, тем не менее остается";"О. В. Аронсон. Коммуникативный образ. Кино. Литература. Философия. Ч. III (2007)";"О. В. Аронсон";"1964";"Коммуникативный образ. Кино. Литература. Философия. Ч. III";"2007";"учебно-научная";"монография";"наука и технологии | философия | культурология";"Аронсон О. Коммуникативный образ. Кино. Литература. Философия";"2007";"книга";"омонимия снята автоматически";"1397";"27870";"н-возраст";"высокий";"большая";"Мы, признавая этику гуманизма, располагаясь «внутри» ее, используя риторические фигуры гуманизма, привычно утверждаем: человек, даже будучи ненормальным, умалишенным, маньяком, убийцей, тем не менее остается человеком, и на него распространяются все права человека. ";"42251:550:17"
